Timestamp;Entity Name;Data;Delta A;Delta B;Gweui;Port;Seq;avgOccupationTimeA;avgOccupationTimeB;eventsCountA;eventsCountB
2022-11-02 13:21:37;034050780000000B;;2408;0;;;;0;0;2408;0
2022-11-02 13:26:37;034050780000000B;;1;0;;;;0.6552;0;2409;0
2022-11-02 13:31:37;034050780000000B;;0;0;;;;0;0;2409;0
2022-11-02 13:36:37;034050780000000B;;4;0;;;;0.5382;0;2413;0
2022-11-02 13:41:37;034050780000000B;;0;0;;;;0;0;2413;0
2022-11-02 13:51:37;034050780000000B;;2;0;;;;0;0;2415;0
2022-11-02 13:56:37;034050780000000B;;1;0;;;;0.702;0;2416;0
2022-11-02 13:56:40;034050780000000B;;0;0;;;;0.702;0;2416;0
2022-11-02 14:01:40;034050780000000B;;0;0;;;;0;0;2416;0
2022-11-02 14:06:37;034050780000000B;;0;0;;;;0;0;2416;0
2022-11-02 14:06:40;034050780000000B;;0;0;;;;0;0;2416;0
2022-11-02 14:11:37;034050780000000B;;0;0;;;;0;0;2416;0
2022-11-02 14:11:40;034050780000000B;;0;0;;;;0;0;2416;0
2022-11-02 14:16:37;034050780000000B;0a2416e0b0e0;0;0;647FDAFFFE0085A9;5;5251;0;0;2416;0
2022-11-02 14:16:39;034050780000000B;0a2416e0b0e0;0;0;647FDAFFFE0085A9;5;5251;0;0;2416;0
2022-11-02 14:21:37;034050780000000B;0a2418e174b0e0;2;0;647FDAFFFE0085A9;5;5252;1.3572;0;2418;0
2022-11-02 14:26:37;034050780000000B;0a2419e117b0e0;1;0;647FDAFFFE0085A9;5;5253;0.9126;0;2419;0
2022-11-02 14:31:38;034050780000000B;a2421e80b0e0;2;0;647FDAFFFE0085A9;5;5254;0.624;0;2421;0
2022-11-02 14:36:37;034050780000000B;a2424e31b0e0;3;0;647FDAFFFE0085A9;5;5255;0.2418;0;2424;0
2022-11-02 14:41:37;034050780000000B;0a2424e0b0e0;0;0;647FDAFFFE0085A9;5;5256;0;0;2424;0
2022-11-02 14:46:37;034050780000000B;0a2424e0b0e0;0;0;647FDAFFFE0085A9;5;5257;0;0;2424;0
2022-11-02 14:51:37;034050780000000B;0a2424e0b0e0;0;0;647FDAFFFE0085A9;5;5258;0;0;2424;0
2022-11-02 14:56:37;034050780000000B;a2425e83b0e0;1;0;647FDAFFFE0085A9;5;5259;0.6474;0;2425;0
2022-11-02 15:01:37;034050780000000B;0a2426e310b0e0;1;0;647FDAFFFE0085A9;5;5260;2.418;0;2426;0
2022-11-02 15:06:37;034050780000000B;0a2426e0b0e0;0;0;647FDAFFFE0085A9;5;5261;0;0;2426;0
2022-11-02 15:11:37;034050780000000B;0a2426e0b0e0;0;0;647FDAFFFE0085A9;5;5262;0;0;2426;0
2022-11-02 15:16:37;034050780000000B;a2428e85b0e0;2;0;647FDAFFFE0085A9;5;5263;0.663;0;2428;0
2022-11-02 15:21:37;034050780000000B;0a2428e0b0e0;0;0;647FDAFFFE0085A9;5;5264;0;0;2428;0
2022-11-02 15:31:37;034050780000000B;0a2428e0b0e0;0;0;647FDAFFFE0085A9;5;5266;0;0;2428;0
2022-11-02 15:46:37;034050780000000B;0a2430e0b0e0;2;0;647FDAFFFE0085A9;5;5269;0;0;2430;0
2022-11-02 15:51:37;034050780000000B;a2431e55b0e0;1;0;647FDAFFFE0085A9;5;5270;0.429;0;2431;0
2022-11-02 15:56:37;034050780000000B;0a2431e0b0e0;0;0;647FDAFFFE0085A9;5;5271;0;0;2431;0
2022-11-02 16:01:38;034050780000000B;0a2431e0b0e0;0;0;647FDAFFFE0085A9;5;5272;0;0;2431;0
2022-11-02 16:01:40;034050780000000B;0a2431e0b0e0;0;0;647FDAFFFE0085A9;5;5272;0;0;2431;0
